drug_id;canonical_name;available;
103;5-aminolevulinic acid;N;
104;acalabrutinib;Y;
105;acetylcysteine;N;
106;acoramidis;Y;
107;acyclovir;Y;
108;adagrasib;N;
109;afatinib;Y;
110;aficamten;N;
111;albendazole;Y;
112;alectinib;Y;
113;alitretinoin;Y;
114;allopurinol;Y;
78;alpelisib;Y;
115;altretamine;N;
116;amantadine;Y;
117;ambrisentan;Y;
118;amifampridine;Y;
119;amifostine;N;
120;aminosalicylic acid;N;
121;amiodarone hcl;Y;
122;amphotericin b lipid complex;N;
123;anagrelide;Y;
124;apomorphine hcl;Y;
125;apremilast;Y;
82;arimoclomol;N;
126;aripiprazole;Y;
127;arsenic trioxide;N;
128;artemether/lumefantrine;Y;
60;artesunate;N;
37;asciminib;Y;
129;ascorbic acid;N;
130;atovaquone;Y;
66;avacopan;Y;
30;avapritinib;Y;
131;avatrombopag;Y;
132;"avutometinib; defactinib";N;
133;azacitidine;Y;
134;aztreonam;Y;
135;baclofen;Y;
136;balsalazide disodium;N;
83;bardoxolone methyl;N;
98;beclomethasone dipropionate;Y;
137;bedaquiline;Y;
138;belinostat;N;
20;belumosudil mesilate;N;
139;belzutifan;N;
140;bendamustine for 50 ml admixture;Y;
141;benznidazole;N;
91;benzoate;N;
142;benzoate and phenylacetate;N;
143;berotralstat;Y;
144;betaine;Y;
145;bexarotene;Y;
146;bicarbonate infusate;N;
147;birch triterpenes;N;
148;bortezomib;Y;
102;bosentan;Y;
149;bosutinib;Y;
150;brigatinib;Y;
151;brilliant blue g ophthalmic solution;Y;
152;brincidofovir;N;
65;budesonide + micronised;Y;
153;buprenorphine in combination with naloxone;Y;
154;busulfan;Y;
10;cabozantinib;Y;
92;caffeine;Y;
155;calcium;N;
156;calcium + magnesium + potassium + and oxybates;N;
9;cannabidiol;N;
157;capmatinib;Y;
158;capsaicin;Y;
159;carfilzomib;Y;
160;carglumic acid;N;
161;cedazuridine and decitabine;Y;
162;ceritinib;Y;
52;chenodeoxycholic acid;N;
70;chlormethine;Y;
163;cholic acid;N;
164;cinacalcet;Y;
165;cladribine;Y;
166;clobazam;Y;
167;clofarabine;Y;
168;clofazimine;N;
169;clonidine;Y;
170;clotrimazole;Y;
171;cobicistat;Y;
172;cobimetinib;Y;
173;colchicine;Y;
174;colfosceril palmitate + cetyl alcohol + tyloxapol;N;
81;copanlisib dihydrochloride;N;
175;copper histidinate;N;
176;crinecerfont;N;
177;crizotinib;Y;
178;cromolyn ophthalmic solution;N;
179;cysteamine enteric coated;N;
180;cytarabine liposomal;Y;
181;d6-tetrabenazine + deutetrabenazine;N;
23;dabrafenib mesilate;Y;
182;dacomitinib;Y;
183;dalfampridine;N;
29;danicopan;Y;
184;dantrolene suspension for injection;Y;
185;dasatinib;Y;
77;"daunorubicin ;cytarabine";Y;
186;daunorubicin liposome injection;Y;
187;decitabine;Y;
188;deferasirox;Y;
89;deferiprone;Y;
189;deflazacort;Y;
190;dehydrated alcohol;N;
3;delamanid;N;
191;delandistrogene moxeparvovec-rokl;N;
192;dexamethasone;Y;
193;dexamethasone intravitreal implant;Y;
194;dexrazoxane;Y;
195;diazepam;Y;
196;diazoxide choline;Y;
197;dichlorphenamide;N;
198;diethylenetriaminepentaacetic acid;N;
199;difluprednate;N;
200;dordaviprone;N;
21;"doxecitine;doxribtimine";N;
201;doxorubicin hcl liposome injection;Y;
202;dronabinol;N;
203;droxidopa;N;
204;duvelisib;N;
90;edaravone;N;
86;"eflornithine ;sulindac";N;
205;eflornithine hcl;N;
54;elafibranor;N;
206;elamipretide;N;
207;elapegademase-lvlr;N;
61;eliglustat;Y;
208;eltrombopag;Y;
209;emtricitabine and tenofovir alafenamide;Y;
210;enasidenib;N;
211;encorafenib;Y;
212;encorafenib + binimetinib;Y;
213;entrectinib;Y;
214;epirubicin;Y;
215;epoetin alfa;Y;
216;epoprostenol;Y;
99;eprodisate disodium;N;
217;eribulin;Y;
94;etarfolatide;N;
218;ethanolamine oleate;N;
219;ethiodized oil injection;N;
220;etidronate disodium;Y;
221;everolimus;Y;
222;exemestane;Y;
28;fedratinib dihydrochloride monohydrate;Y;
223;felbamate;Y;
224;fenfluramine hci;Y;
225;ferumoxytol;N;
226;fexinidazole;N;
227;fludarabine;Y;
228;fludarabine oral tablets;Y;
100;fluocinolone acetonide;N;
229;fomepizole;N;
230;foscarbidopa and foslevodopa;Y;
76;fosdenopterin hydrobromide dihydrate;N;
231;fosphenytoin;N;
232;fostamatinib disodium hexahydrate;Y;
233;futibatinib;N;
234;gabapentin;Y;
235;gabapentin enacarbil;Y;
236;gallium-68 octreotide;Y;
8;ganaxolone;N;
237;ganciclovir intravitreal implant;Y;
238;gefitinib;Y;
26;gilteritinib;Y;
56;givinostat monohydrate;N;
63;glasdegib;N;
79;glibenclamide;N;
33;glucarpidase;Y;
239;glutamine;N;
39;glycerol phenylbutyrate;N;
240;glycopyrrolate;N;
67;govorestat;N;
97;gusperimus trihydrochloride;N;
241;halofantrine;N;
242;hemin;Y;
243;hydrocortisone;Y;
244;hydroxycarbamide;Y;
245;hydroxyprogesterone caproate;N;
246;hydroxyurea;Y;
247;ibrutinib;Y;
248;ibuprofen lysine;N;
249;idarubicin hcl for injection;Y;
87;"idebenone;titanium dioxide";N;
250;idelalisib;Y;
251;ifosfamide;N;
252;iloprost;Y;
253;iloprost inhalation solution;N;
254;imatinib;Y;
84;infigratinib monophosphate;N;
255;interferon alfa-2b;N;
256;intravenous carbamazepine;Y;
257;iobenguane i;N;
34;iptacopan monohydrate;N;
72;irinotecan anhydrous free-base;N;
258;iron-hexacyanoferrate;N;
55;isavuconazole;Y;
259;isavuconazonium;N;
260;ivabradine;Y;
261;ivacaftor;Y;
1;"ivacaftor;tezacaftor;elexacaftor";Y;
14;ivosidenib;Y;
50;ixazomib;Y;
262;l-glutamine;N;
263;lamotrigine;Y;
264;larotrectinib;Y;
265;ledipasvir/sofosbuvir;Y;
266;lenalidomide;Y;
267;leniolisib;N;
268;lenvatinib;Y;
74;leriglitazone;N;
35;letermovir;Y;
269;leucovorin;Y;
270;levacetylleucine;N;
271;levocarnitine;Y;
272;levodopa and carbidopa;Y;
273;levoketoconazole;N;
274;levoleucovorin;N;
275;levomethadyl;N;
276;lidocaine patch;N;
277;linerixibat;N;
278;liothyronine injection;Y;
279;liposomal amikacin;Y;
280;lodoxamide tromethamine;N;
281;lomitapide;Y;
69;lonafarnib;N;
282;lorlatinib;Y;
283;lumacaftor and ivacaftor;Y;
285;lurbinectedin;N;
41;lutetium oxodotreotide;Y;
286;macimorelin;N;
287;macitentan;Y;
288;macitentan and tadalafil;Y;
289;mafenide solution;N;
290;mannitol;N;
47;maralixibat chloride;N;
43;maribavir;Y;
68;masitinib mesilate;N;
291;mavacamten;Y;
13;mavorixafor;N;
292;mebendazole;N;
293;meclorethamine;N;
294;megestrol;Y;
295;meloxicam;Y;
296;melphalan;Y;
297;melphalan flufenamide;Y;
53;mercaptamine;Y;
298;mercaptopurine oral solution;N;
299;"mesalamine; 5-aminosalicylic acid";Y;
300;mesna;N;
301;methotrexate oral solution;Y;
302;methylene blue;N;
303;metronidazole;Y;
25;mexiletine;Y;
304;midazolam;Y;
305;midodrine hcl;N;
27;midostaurin;Y;
93;mifepristone;Y;
49;migalastat;N;
306;miglustat;Y;
307;miltefosine;N;
51;mirdametinib;N;
85;mitapivat;N;
308;mitomycin-c;Y;
309;mitoxantrone hcl;Y;
310;mobocertinib;N;
311;modafinil;Y;
62;momelotinib dihydrochloride monohydrate;N;
312;monooctanoin;N;
313;morphine concentrate;Y;
314;moxidectin;N;
315;naltrexone hcl;Y;
316;nelarabine;Y;
317;nerandomilast;N;
318;nifurtimox;N;
319;nilotinib;Y;
320;nimodipine;Y;
321;nintedanib;Y;
40;niraparib;Y;
45;nirogacestat hydrobromide;N;
322;nitazoxanide;N;
323;nitisinone;Y;
324;nitric oxide;N;
383;nitrite and thiosulfate;N;
57;odevixibat;Y;
325;ofloxacin;Y;
326;olaparib;Y;
327;olutasidenib;N;
328;omacetaxine mepesuccinate;N;
6;omaveloxolone;N;
71;osilodrostat;Y;
329;osimertinib;Y;
384;oxybate;N;
330;paclitaxel;Y;
331;pacritinib;N;
80;palovarotene;N;
12;paltusotine;N;
332;panobinostat;N;
333;paricalcitol;N;
334;pazopanib;Y;
335;pegvaliase-pqpz;N;
336;pemetrexed disodium;Y;
5;pemigatinib;N;
337;pentamidine isethionate;N;
338;pentastarch;N;
339;pentosan polysulfate;N;
340;pentostatin for injection;N;
88;pexidartinib;N;
341;phenobarbital;Y;
385;phenylbutyrate and taurursodiol;N;
342;phoxillum;N;
343;pilocarpine hcl;Y;
344;pirfenidone;Y;
345;pirtobrutinib;Y;
48;pitolisant;Y;
346;plerixafor;Y;
347;polifeprosan 20 with carmustine;N;
73;polihexanide;N;
348;pomalidomide;Y;
349;ponatinib;Y;
350;porfimer;N;
351;posaconazole;Y;
352;potassium;N;
353;potassium iodide oral solution;N;
96;pralatrexate;N;
354;pralsetinib;N;
16;pretomanid;N;
31;pridopidine;N;
355;propranolol;Y;
356;quinine;Y;
357;quizartinib;Y;
358;raloxifene;Y;
359;regorafenib;Y;
360;repotrectinib;N;
59;resminostat mesilate;N;
361;revumenib;N;
362;ribavirin;N;
363;riboflavin ophthalmic solution & ultraviolet a;N;
364;rifabutin;Y;
365;rifampin;Y;
366;rifampin + isoniazid + pyrazinamide;Y;
367;rifapentine;N;
368;rifaximin;Y;
369;riluzole;Y;
32;rilzabrutinib;N;
370;riociguat;Y;
19;ripretinib;N;
371;risdiplam;Y;
95;romidepsin;N;
372;rosuvastatin;Y;
101;rubitecan;N;
373;rucaparib;N;
374;rufinamide;Y;
375;ruxolitinib;Y;
376;sapropterin;Y;
44;sebetralstat;N;
15;seladelpar lysine dihydrate;N;
377;selegiline hcl;Y;
378;selexipag;Y;
379;selinexor;N;
380;selpercatinib;Y;
22;selumetinib;Y;
17;sepiapterin;N;
381;sevabertinib;N;
382;sildenafil;N;
58;sirolimus;N;
387;sofosbuvir;Y;
388;solriamfetol;Y;
389;sorafenib;Y;
390;sotalol hcl;Y;
391;sotorasib;N;
38;sparsentan;N;
392;sterile talc powder;N;
393;stiripentol;Y;
394;succimer;N;
395;sulfadiazine;Y;
396;tacrolimus extended-release capsules;Y;
397;tadalafil;Y;
46;tafamidis;Y;
398;tafamidis meglumine;Y;
399;tafenoquine;N;
400;taletrectinib;N;
401;tasimelteon;N;
402;tazemetostat;N;
403;tecovirimat;N;
36;telotristat etiprate;Y;
404;temozolomide;Y;
405;teniposide;N;
406;tenofovir;Y;
407;tepotinib;Y;
408;tetrabenazine;Y;
284;"tezacaftor;ivacaftor";Y;
409;thalidomide;N;
386;thiosulfate;N;
410;thiotepa;Y;
411;tinidazole;N;
412;tiopronin;Y;
64;tiratricol;N;
413;tobramycin for inhalation;Y;
414;tolvaptan;Y;
415;topiramate;Y;
416;toremifene;N;
11;tovorafenib;N;
417;trabectedin;Y;
418;trametinib and dabrafenib;Y;
42;trametinib dimethyl sulfoxide;Y;
419;treosulfan;N;
420;treprostinil inhalation powder;Y;
421;triclabendazole;N;
422;trientine hcl;Y;
423;trientine tetrahydrochloride;Y;
424;trifluridine/tipiracil;Y;
425;triheptanoin;N;
426;trimetrexate glucuronate;N;
4;trofinetide;N;
427;trypan blue;N;
428;tucatinib;Y;
429;umbralisib;N;
430;upadacitinib;Y;
431;uridine triacetate;N;
432;urofollitropin;Y;
433;ursodiol;Y;
434;valbenazine;N;
435;valrubicin;N;
24;vamorolone;N;
436;vandetanib;Y;
437;vanzacaftor + tezacaftor + and deutivacaftor;N;
7;velmanase alfa;Y;
438;vemurafenib;Y;
439;venetoclax;Y;
440;vigabatrin;Y;
18;vimseltinib dihydrate;N;
441;vincristine liposome injection;Y;
2;vorasidenib;N;
442;vorinostat;N;
75;voxelotor;N;
443;zanubrutinib;Y;
444;zidovudine;Y;
445;ziftomenib;N;
446;zinc;N;
447;zoledronate;N;