"drug","n_components","n_matched","partial_match","manual_classification","review_note"
"belumosudil mesilate",1,0,FALSE,"Y","CHECK: Manual review needed"
"doxecitine;doxribtimine",2,1,TRUE,"Y","CHECK: Manual review needed"
"iptacopan  monohydrate",1,0,FALSE,"Y","CHECK: Manual review needed"
"lutetium  oxodotreotide",1,0,FALSE,"Y","CHECK: Manual review needed"
"eflornithine  monohydrate",1,0,FALSE,"Y","CHECK: Manual review needed"
"givinostat  monohydrate",1,0,FALSE,"Y","CHECK: Manual review needed"
"resminostat mesilate",1,0,FALSE,"Y","CHECK: Manual review needed"
"budesonide + micronised",1,0,FALSE,"Y","CHECK: Manual review needed"
"phenylbutyrate;ursodoxicoltaurine",2,0,FALSE,"Y","CHECK: Manual review needed"
"amphotericin b lipid complex",1,0,FALSE,"Y","CHECK: Manual review needed"
"artemether/lumefantrine",1,0,FALSE,"Y","CHECK: Manual review needed"
"bendamustine for 50 ml admixture",1,0,FALSE,"Y","CHECK: Manual review needed"
"benzoate and phenylacetate",1,0,FALSE,"Y","CHECK: Manual review needed"
"bicarbonate infusate",1,0,FALSE,"Y","CHECK: Manual review needed"
"birch triterpenes",1,0,FALSE,"Y","CHECK: Manual review needed"
"brilliant blue g ophthalmic solution",1,0,FALSE,"Y","CHECK: Manual review needed"
"buprenorphine in combination with naloxone",1,0,FALSE,"Y","CHECK: Manual review needed"
"calcium + magnesium + potassium + and  oxybates",1,0,FALSE,"Y","CHECK: Manual review needed"
"cedazuridine and decitabine",1,0,FALSE,"Y","CHECK: Manual review needed"
"colfosceril palmitate + cetyl alcohol + tyloxapol",1,0,FALSE,"Y","CHECK: Manual review needed"
"cromolyn   ophthalmic solution",1,0,FALSE,"Y","CHECK: Manual review needed"
"cysteamine enteric coated",1,0,FALSE,"Y","CHECK: Manual review needed"
"cytarabine liposomal",1,0,FALSE,"Y","CHECK: Manual review needed"
"d6-tetrabenazine + deutetrabenazine",1,0,FALSE,"Y","CHECK: Manual review needed"
"dabrafenib and trametinib",1,0,FALSE,"Y","CHECK: Manual review needed"
"dantrolene  suspension for injection",1,0,FALSE,"Y","CHECK: Manual review needed"
"daunorubicin  liposome injection",1,0,FALSE,"Y","CHECK: Manual review needed"
"dexamethasone intravitreal implant",1,0,FALSE,"Y","CHECK: Manual review needed"
"doxorubicin liposome",1,0,FALSE,"Y","CHECK: Manual review needed"
"encorafenib + binimetinib",1,0,FALSE,"Y","CHECK: Manual review needed"
"ethiodized oil injection",1,0,FALSE,"Y","CHECK: Manual review needed"
"fenfluramine hci",1,0,FALSE,"Y","CHECK: Manual review needed"
"fludarabine  oral tablets",1,0,FALSE,"Y","CHECK: Manual review needed"
"foscarbidopa and foslevodopa",1,0,FALSE,"Y","CHECK: Manual review needed"
"gallium-68 octreotide",1,0,FALSE,"Y","CHECK: Manual review needed"
"ganciclovir intravitreal implant",1,0,FALSE,"Y","CHECK: Manual review needed"
"idarubicin hcl for injection",1,0,FALSE,"Y","CHECK: Manual review needed"
"iloprost inhalation solution",1,0,FALSE,"Y","CHECK: Manual review needed"
"intravenous carbamazepine",1,0,FALSE,"Y","CHECK: Manual review needed"
"iobenguane i",1,0,FALSE,"Y","CHECK: Short name (likely small mol)"
"irinotecan liposome injection",1,0,FALSE,"Y","CHECK: Manual review needed"
"iron-hexacyanoferrate",1,0,FALSE,"Y","CHECK: Manual review needed"
"ledipasvir/sofosbuvir",1,0,FALSE,"Y","CHECK: Manual review needed"
"liothyronine  injection",1,0,FALSE,"Y","CHECK: Manual review needed"
"lumacaftor/ivacaftor",1,0,FALSE,"Y","CHECK: Manual review needed"
"macitentan and tadalafil",1,0,FALSE,"Y","CHECK: Manual review needed"
"mafenide  solution",1,0,FALSE,"Y","CHECK: Manual review needed"
"meclorethamine",1,0,FALSE,"Y","CHECK: Short name (likely small mol)"
"mercaptopurine oral solution",1,0,FALSE,"Y","CHECK: Manual review needed"
"mesalamine; 5-aminosalicylic acid",2,0,FALSE,"Y","CHECK: Manual review needed"
"methotrexate oral solution",1,0,FALSE,"Y","CHECK: Manual review needed"
"morphine  concentrate",1,0,FALSE,"Y","CHECK: Manual review needed"
"pentostatin for injection",1,0,FALSE,"Y","CHECK: Manual review needed"
"phoxillum",1,0,FALSE,"Y","CHECK: Short name (likely small mol)"
"polifeprosan 20 with carmustine",1,0,FALSE,"Y","CHECK: Manual review needed"
"porfimer",1,0,FALSE,"Y","CHECK: Short name (likely small mol)"
"riboflavin 5'-",1,0,FALSE,"Y","CHECK: Short name (likely small mol)"
"riboflavin ophthalmic solution & ultraviolet a",1,0,FALSE,"Y","CHECK: Manual review needed"
"rifampin + isoniazid + pyrazinamide",1,0,FALSE,"Y","CHECK: Manual review needed"
"riluzole oral film",1,0,FALSE,"Y","CHECK: Manual review needed"
"riluzole oral suspension",1,0,FALSE,"Y","CHECK: Manual review needed"
"nitrite and  thiosulfate",1,0,FALSE,"Y","CHECK: Manual review needed"
"phenylbutyrate and taurursodiol",1,0,FALSE,"Y","CHECK: Manual review needed"
"tezacaftor/ivacaftor; ivacaftor",2,1,TRUE,"Y","CHECK: Manual review needed"
"tobramycin for inhalation",1,0,FALSE,"Y","CHECK: Manual review needed"
"trametinib and dabrafenib",1,0,FALSE,"Y","CHECK: Manual review needed"
"treprostinil inhalation powder",1,0,FALSE,"Y","CHECK: Manual review needed"
"treprostinil inhalation solution",1,0,FALSE,"Y","CHECK: Manual review needed"
"trifluridine/tipiracil",1,0,FALSE,"Y","CHECK: Manual review needed"
"vanzacaftor + tezacaftor + and deutivacaftor",1,0,FALSE,"Y","CHECK: Manual review needed"
"vincristine  liposome injection",1,0,FALSE,"Y","CHECK: Manual review needed"
